"Date","Weight"
"12/22/2010","225.4"
"12/21/2010","224.2"
"12/20/2010","227.2"
"12/03/2010","221.2"
"12/01/2010","221.0"
"11/30/2010","222.8"
"11/29/2010","227.0"
"10/29/2010","222.2"
"08/16/2010","220.4"
"07/21/2010","214.2"
"07/06/2010","217.2"
"06/16/2010","211.6"
"06/15/2010","210.8"
"06/14/2010","211.8"
"05/24/2010","211.0"
"05/20/2010","210.0"
"05/07/2010","204.2"
"05/06/2010","206.2"
"05/05/2010","206.6"
"05/03/2010","207.8"
"04/30/2010","205.6"
"04/29/2010","206.0"
"04/27/2010","208.2"
"04/25/2010","206.8"
"04/23/2010","207.4"
"04/22/2010","209.8"
"04/21/2010","209.0"
"04/19/2010","211.4"
"04/18/2010","209.8"
"04/17/2010","210.6"
"04/16/2010","211.4"
"04/10/2010","212.4"
"04/07/2010","215.4"
"03/31/2010","217.4"
"03/30/2010","217.6"
"03/26/2010","215.8"
"03/24/2010","216.8"
"03/23/2010","217.6"
"03/22/2010","219.8"
"03/17/2010","215.6"
"03/16/2010","213.2"
"03/15/2010","217.0"
"03/04/2010","215.6"
"03/03/2010","214.6"
"03/02/2010","217.6"
"02/25/2010","215.0"
"02/23/2010","214.2"
"02/19/2010","215.4"
"02/18/2010","216.0"
"02/17/2010","217.4"
"02/11/2010","215.8"
"02/10/2010","215.8"
"02/09/2010","216.2"
"02/05/2010","217.8"
"02/04/2010","219.0"
"02/02/2010","217.0"
"02/01/2010","223.4"
"01/28/2010","219.4"
"01/27/2010","219.0"
"01/26/2010","221.6"
"01/25/2010","221.8"
"01/23/2010","220.4"
"01/22/2010","220.4"
"01/21/2010","221.6"
"01/20/2010","221.0"
"01/18/2010","221.2"
"01/15/2010","218.4"
"01/14/2010","217.8"
"01/13/2010","219.4"
"01/12/2010","220.0"
"01/11/2010","219.0"
"01/09/2010","218.4"
"01/08/2010","219.0"
"01/07/2010","219.8"
"01/06/2010","218.4"
"01/05/2010","219.4"
"01/04/2010","221.6"
"01/03/2010","222.6"
"01/01/2010","220.0"
"12/31/2009","222.0"
"12/30/2009","222.4"
"12/29/2009","224.8"
"12/28/2009","224.4"
"12/25/2009","222.0"
"12/24/2009","222.4"
"12/23/2009","222.4"
"12/22/2009","224.4"
"12/21/2009","226.4"
"12/18/2009","221.4"
"12/17/2009","222.2"
"12/16/2009","222.2"
"12/15/2009","225.6"
"12/14/2009","227.0"
"12/13/2009","227.6"
"12/12/2009","224.4"
"12/11/2009","225.6"
"12/10/2009","226.8"
"12/09/2009","227.2"
"12/08/2009","228.0"
"12/06/2009","233.6"
"12/05/2009","234.4"
"12/04/2009","229.2"
"12/03/2009","231.2"
"12/02/2009","235.0"
"12/01/2009","235.2"
"11/30/2009","237.0"
"11/27/2009","237.0"
